reaction,name,pct_st443,pct_others,pct_diff,p,ec,kegg
rxn02993_c0,"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",0.0,63.29,-63.29,0.0015535767573982,1.4.3.21;1.4.3.4;1.4.3.9,R04300
rxn03195_c0,N-Methylhistamine:oxygen oxidoreductase (deaminating) (copper-containing),0.0,63.29,-63.29,0.0015535767573982,1.4.3.21;1.4.3.4;1.4.3.9,R04674
rxn01833_c0,aminoacetone:oxygen oxidoreductase(deaminating),0.0,63.29,-63.29,0.0015535767573982,1.4.3.21;1.4.3.4;1.4.3.9,R02529
rxn12039_c0,Demethylcitalopram:oxygen oxidoreductase(deaminating)(flavin-containing),0.0,63.29,-63.29,0.0015535767573982,1.4.3.21;1.4.3.4;1.4.3.9,R08347
rxn03342_c0,3-Methoxytyramine:oxygen oxidoreductase (deaminating) (copper-containing),0.0,63.29,-63.29,0.0015535767573982,1.4.3.21;1.4.3.4;1.4.3.9,R04890
rxn02087_c0,"4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",0.0,63.29,-63.29,0.0015535767573982,1.4.3.21;1.4.3.4;1.4.3.9,R02919
rxn02081_c0,5-Hydroxytryptamine:oxygen oxidoreductase(deaminating)(flavin-containing),0.0,63.29,-63.29,0.0015535767573982,1.4.3.21;1.4.3.4;1.4.3.9,R02908
rxn02826_c0,N-Acetylputrescine:oxygen oxidoreductase(deaminating)(flavin-containing),0.0,63.29,-63.29,0.0015535767573982,1.4.3.21;1.4.3.4;1.4.3.9,R04025
rxn03345_c0,L-Normetanephrine:oxygen oxidoreductase (deaminating) (copper-containing),0.0,63.29,-63.29,0.0015535767573982,1.4.3.21;1.4.3.4;1.4.3.9,R04893
rxn01564_c0,Tryptamine:oxygen oxidoreductase(deaminating),0.0,63.29,-63.29,0.0015535767573982,1.4.3.21;1.4.3.4;1.4.3.9,R02173
rxn03346_c0,L-Metanephrine:oxygen oxidoreductase (deaminating) (flavin-containing),0.0,63.29,-63.29,0.0015535767573982,1.4.3.21;1.4.3.4;1.4.3.9,R04894
rxn01903_c0,Phenethylamine:oxygen oxidoreductase (deaminating),0.0,63.29,-63.29,0.0015535767573982,1.4.3.21;1.4.3.4;1.4.3.9,R02613
rxn12038_c0,Citalopram:oxygen oxidoreductase(deaminating)(flavin-containing),0.0,63.29,-63.29,0.0015535767573982,1.4.3.21;1.4.3.4;1.4.3.9,R08346
EX_cpd00080_e0,Glycerol-3-phosphate-e0 Exchange,0.0,62.03,-62.03,0.0019160780007912,,
rxn09177_c0,(R)-4'-Phosphopantothenate:L-cysteine ligase,14.29,75.95,-61.66,0.0021000145447754,6.3.2.5,R04231
